번호,상세영업상태명,인허가일자,폐업일자,시설총규모,소재지전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,lon,lat
1683870,폐업,20030108,20100105,31.32,경상남도 창녕군 창녕읍 송현리 149-4번지 ,두마리맛나치킨,통닭(치킨),336113.8486,228063.5928,,128.5017582,35.5429689
1687378,폐업,19950710,20100105,113.81,경상남도 남해군 미조면 미조리 555-1번지 ,명동식당,한식,,,,inf,inf
1650755,폐업,19910212,20100105,0,경상남도 김해시 부원동 778-1번지 ,채널이십일,한식,371364.373,194106.6962,,128.8831837,35.23161357
1537839,폐업,20070801,20100105,152.86,경상북도 경주시 천북면 신당리 1399-132번지 ,인천식당,한식,,,,inf,inf
1759184,폐업,19951226,20100105,59.4,경상남도 창원시 마산합포구 신포동2가 121-12번지 ,골포 숯불장어,회집,343404.9247,190049.2333,기타,128.5754666,35.19944007
1683671,폐업,19870521,20100105,19.4,경상남도 창녕군 창녕읍 교하리 120-2번지 ,수정식당,한식,335796.8485,227890.7393,,128.4982347,35.54145494
1547884,폐업,20040130,20100105,44,경상북도 안동시 옥야동 322-10번지 ,명일식당,한식,354316.1783,341530.2621,기타,128.7245438,36.56243216
1656128,폐업,20080423,20100105,67.09,경상남도 밀양시 내일동 623-1번지 ,불촌 두마리치킨,통닭(치킨),358868.2267,222819.5763,,128.7515518,35.49234476
1691007,폐업,20020913,20100106,89.4,경상남도 산청군 산청읍 옥산리 687-1번지 ,랑데뷰,기타,279241.3093,212766.1578,,127.873213,35.41127983
1573685,폐업,19920904,20100106,31.48,경상북도 영주시 영주동 330-10번지 ,진작올걸식당,기타,344825.0363,370686.6928,기타,128.6240757,36.82654679
1769532,폐업,20050406,20100106,27.31,경상남도 창원시 성산구 대방동 376번지 대방그린빌A` 8동지하1층5호 ,가야찜,기타,355717.0103,190858.2224,,128.7107608,35.20489627
1549964,폐업,20070608,20100106,68.04,경상북도 안동시 예안면 정산리 613-2번지 ,달빛가든,한식,368597.1738,352414.6835,,128.8863758,36.65805091
1764857,폐업,20060613,20100106,162,경상남도 창원시 진해구 안골동 81번지 ,한우한마리,한식,364712.565,178268.3439,,128.8069923,35.09003872
1546688,폐업,20001222,20100106,39.12,경상북도 김천시 신음동 1280-6번지 ,송도원,한식,300260.5279,293944.7332,아파트지역,128.11474,36.14088255
1672258,폐업,20090828,20100106,105.76,경상남도 양산시 원동면 원리 1165-1번지 (1층) ,한양족발,식육(숯불구이),374391.7778,208860.9916,,128.9195567,35.36400303
1648833,폐업,19930925,20100106,98.73,경상남도 김해시 부원동 605-6번지 ,영남식당,한식,371233.6346,193591.8945,,128.8816413,35.22699825
1769907,폐업,20010531,20100106,55.68,경상남도 창원시 마산합포구 신포동1가 15-8번지 ,계림정,탕류(보신용),342915.9672,189936.4792,,128.5700798,35.1984938
1561682,폐업,20000826,20100106,80.64,경상북도 구미시 봉곡동 433-5번지 ,바다목장회,일식,317853.0961,294497.3544,,128.3102416,36.14388554
1685029,폐업,20090420,20100106,27.36,경상남도 고성군 고성읍 수남리 24-1번지 ,9공탄 불고기,분식,320689.3703,164284.8096,기타,128.3223545,34.97025549
1563449,폐업,20070405,20100106,89.88,경상북도 구미시 상모동 536번지 외1필지 ,포항회타운,회집,322022.3987,288849.7445,,128.3556803,36.09248788
1681374,폐업,20021119,20100106,174.42,경상남도 함안군 군북면 월촌리 산 146-8번지 ,용마루식당,기타,,,,inf,inf
1763771,폐업,20070712,20100106,63,경상남도 창원시 성산구 중앙동 101-1번지 경남오피스텔 1층 114호 ,창원추어탕횟집,회집,352452.0463,192401.4157,유흥업소밀집지역,128.6752069,35.21930058
1735614,폐업,20070507,20100106,74,경기도 포천시 소흘읍 송우리 455-4번지 ,청정식당,한식,212716.6632,480320.5676,,127.1452254,37.82535949
1620031,폐업,20021108,20100106,42.66,경상남도 진주시 이현동 29-33번지 1층 ,황매산생고기,한식,297090.8014,188521.9846,,128.0668314,35.19121898
1775047,폐업,20081204,20100106,45.11,충청남도 당진시 송악읍 석포리 318-3번지 수웅누리상가2호 ,짱가네분식야식,한식,175899.0517,381253.4115,아파트지역,126.7302734,36.9325253
1531046,폐업,20091130,20100106,44.04,경상북도 경주시 용강동 1338번지 ,꿈닥,한식,400866.7599,264576.8179,주택가주변,129.2245125,35.86081329
1598731,폐업,20000825,20100107,85.35,경상북도 영덕군 영덕읍 덕곡리 129-5번지 ,로바다야끼,호프/통닭,412684.081,326176.0278,기타,129.3718725,36.41298605
1565020,폐업,20090911,20100107,44.8,"경상북도 구미시 원평동 1028-2번지 금오시장상가179호,180호,199호,1100호 ",성공시대 원평점,한식,320621.5383,292575.4783,,128.3406994,36.12623016
1681025,폐업,19840806,20100107,99,경상남도 함안군 가야읍 말산리 421-6번지 ,향촌식당,한식,327855.6588,198274.5728,,128.4060536,35.27565497
1689943,폐업,20090603,20100107,,경상남도 하동군 진교면 진교리 59번지 ,장모님양념통닭,통닭(치킨),282414.5585,169971.0359,,127.9038659,35.02533885
1572186,폐업,20050404,20100107,230.4,경상북도 영주시 풍기읍 산법리 382-3번지 ,동양대학씨동식당,기타,,,,inf,inf
1621491,폐업,20041018,20100107,25.96,경상남도 진주시 금산면 중천리 244-9번지 1층 ,구어스치킨,한식,304193.9409,191223.6347,,128.1451493,35.21485429
1726037,폐업,20031209,20100107,127.78,경기도 양주시 백석읍 가업리 503-4번지 ,은봉산원,한식,197222.7852,476633.1357,아파트지역,126.9692552,37.79222075
1592437,폐업,20021011,20100107,18.08,경상북도 경산시 임당동 645-15번지 ,목향돼지국밥,기타,358303.3296,261497.6858,주택가주변,128.752925,35.84086973
1576455,폐업,19920128,20100107,33.73,경상북도 영천시 금호읍 신월리 41-2번지 ,솔잎식당,한식,371735.6787,273300.4397,,128.9040681,35.94492449
1765925,폐업,20061013,20100107,111.04,경상남도 창원시 의창구 명곡동 216-1번지 1층.2층 ,지심도횟집,한식,349958.7294,196343.3329,기타,128.6485506,35.2551915
1732674,폐업,19970723,20100107,79.86,경기도 포천시 영북면 산정리 454-4번지 ,오버광장,한식,227517.6114,507014.1842,,127.3143556,38.06552173
1546967,폐업,20050829,20100107,66,경상북도 김천시 삼락동 856-26번지 ,오삼식당,한식,296834.1774,293611.3999,기타,128.0766369,36.13822681
1708352,폐업,20070329,20100107,227.37,경기도 화성시 진안동 883-5번지 ,진안골춘천닭갈비막국수,기타,203571.6495,412275.1109,,127.0410288,37.21235381
1556761,폐업,20010228,20100107,48.22,경상북도 구미시 원평동 317-1번지 ,미조리꾸이식당,한식,320230.4687,292795.7284,,128.3363899,36.12826302
1756690,폐업,19901022,20100107,148,경상남도 창원시 의창구 신월동 68-13번지 ,해정각 해장국,한식,353900.6746,193337.712,,128.6912861,35.22751518
1661626,폐업,20041228,20100107,38.4,경상남도 거제시 옥포동 548-10번지 ,멜라톤탄도리,식육(숯불구이),354587.2881,155936.5699,주택가주변,128.6918639,34.89043484
1631439,폐업,19970307,20100107,45.6,경상남도 통영시 용남면 원평리 919-86번지 ,삼화두레식당,한식,332905.4346,154706.8127,기타,128.454561,34.88241993
1681347,폐업,20040823,20100107,18.62,경상남도 함안군 가야읍 도항리 40-12번지 외1필지 B동 (1층) ,까꾸리,회집,,,,inf,inf
1594720,폐업,20030228,20100108,165.49,경상북도 군위군 효령면 고곡리 438번지 ,농협대구경북유통(주)구내식당,한식,341575.7132,292024.5907,,128.5732924,36.11843959
